state,state_abbr,democrat_pct,republican_pct,dem_minus_rep
Alaska,AK,42.77,52.83,-10.059999999999995
Alabama,AL,36.57,62.03,-25.46
Arkansas,AR,34.78,62.4,-27.619999999999997
Arizona,AZ,49.36,49.06,0.29999999999999716
California,CA,63.48,34.32,29.159999999999997
Colorado,CO,55.4,41.9,13.5
Connecticut,CT,59.26,39.19,20.07
District of Columbia,DC,92.15,5.4,86.75
Delaware,DE,58.74,39.77,18.97
Florida,FL,47.86,51.22,-3.3599999999999994
Georgia,GA,49.47,49.24,0.22999999999999687
Hawaii,HI,63.73,34.27,29.459999999999994
Iowa,IA,44.89,53.09,-8.200000000000003
Idaho,ID,33.07,63.84,-30.770000000000003
Illinois,IL,57.54,40.55,16.990000000000002
Indiana,IN,40.96,57.03,-16.07
Kansas,KS,41.51,56.14,-14.630000000000003
Kentucky,KY,36.15,62.09,-25.940000000000005
Louisiana,LA,39.85,58.46,-18.61
Massachusetts,MA,65.6,32.14,33.459999999999994
Maryland,MD,65.36,32.15,33.21
Maine,ME,53.09,44.02,9.07
Michigan,MI,50.62,47.84,2.779999999999994
Minnesota,MN,52.4,45.28,7.119999999999997
Missouri,MO,41.41,56.8,-15.39
Mississippi,MS,41.06,57.6,-16.54
Montana,MT,40.55,56.92,-16.370000000000005
North Carolina,NC,48.59,49.93,-1.3399999999999963
North Dakota,ND,31.78,65.12,-33.34
Nebraska,NE,39.17,58.22,-19.049999999999997
New Hampshire,NH,52.71,45.36,7.350000000000001
New Jersey,NJ,57.33,41.4,15.93
New Mexico,NM,54.29,43.5,10.79
Nevada,NV,50.06,47.67,2.3900000000000006
New York,NY,60.87,37.74,23.129999999999995
Ohio,OH,45.24,53.27,-8.030000000000001
Oklahoma,OK,32.29,65.37,-33.080000000000005
Oregon,OR,56.45,40.37,16.080000000000005
Pennsylvania,PA,49.85,48.69,1.1600000000000037
Rhode Island,RI,59.39,38.61,20.78
South Carolina,SC,43.43,55.11,-11.68
South Dakota,SD,35.61,61.77,-26.160000000000004
Tennessee,TN,37.45,60.66,-23.209999999999994
Texas,TX,46.48,52.06,-5.580000000000005
Utah,UT,37.65,58.13,-20.480000000000004
Virginia,VA,54.11,44.0,10.11
Vermont,VT,66.09,30.67,35.42
Washington,WA,57.97,38.77,19.199999999999996
Wisconsin,WI,49.45,48.82,0.6300000000000026
West Virginia,WV,29.69,68.62,-38.93000000000001
Wyoming,WY,26.55,69.94,-43.39
