year,topic,stance,post_count,like_count,reaction_count,like_share,topic_order
2020,Democratic concerns,Democrats threaten democracy,32697,16008569,28052868,0.12371649758586362,1
2020,Democratic concerns,Republicans threaten democracy,21225,9053854,16388692,0.06996947113347618,1
2020,Wokeness,Woke opposer,33867,16340156,28824680,0.12627904907219595,2
2020,Wokeness,Woke supporter,17839,6857002,11628996,0.05299188649399344,2
2020,Economy,Negative Economic Outlook,22923,8308368,14915847,0.06420824932037751,3
2020,Economy,Positive Economic Outlook,11724,6932219,10626987,0.053573174165547084,3
2020,National security and foreign policy,,78185,14174811,23682905,0.10954495500888138,4
2020,Others,,62592,13557911,23876452,0.10477746408819263,5
2020,Healthcare,,64447,13055836,24304021,0.10089735709515518,6
2020,Guns control,,19665,9537746,17166148,0.07370905731696446,7
2020,Abortion,,22879,9054285,16371225,0.06997280196276265,8
2020,Voter trust,,17795,6516448,12080943,0.05036003675658991,9
