year,topic,stance,post_count,like_count,reaction_count,like_share,topic_order
2016,Wokeness,Woke opposer,39289,20542469,26222464,0.15645657125369364,1
2016,Wokeness,Woke supporter,22000,14414490,17728496,0.10978435366122029,1
2016,Abortion,,41949,23185986,28829729,0.17659025654102936,2
2016,Democratic concerns,Democrats threaten democracy,15521,10098315,12269466,0.07691128755456529,3
2016,Democratic concerns,Republicans threaten democracy,15180,9094632,11510335,0.06926698730975922,3
2016,Guns control,,20585,12216388,15521657,0.09304306018837209,4
2016,Economy,Negative Economic Outlook,16991,7107064,9021326,0.05412917332967916,5
2016,Economy,Positive Economic Outlook,6440,3678305,4154134,0.028014888975873228,5
2016,National security and foreign policy,,36295,10234316,12809728,0.07794710511608009,6
2016,Voter trust,,15118,7419505,9741245,0.05650880197018363,7
2016,Immigration,Anti-immigration,14871,4587875,6024444,0.03494240112230617,8
2016,Immigration,Pro-immigration,7285,2443401,3022330,0.018609551882874754,8
2016,Others,,19884,6275472,7986394,0.047795561094363066,9
2020,Democratic concerns,Democrats threaten democracy,32697,16008569,28052868,0.12371649758586362,1
2020,Democratic concerns,Republicans threaten democracy,21225,9053854,16388692,0.06996947113347618,1
2020,Wokeness,Woke opposer,33867,16340156,28824680,0.12627904907219595,2
2020,Wokeness,Woke supporter,17839,6857002,11628996,0.05299188649399344,2
2020,Economy,Negative Economic Outlook,22923,8308368,14915847,0.06420824932037751,3
2020,Economy,Positive Economic Outlook,11724,6932219,10626987,0.053573174165547084,3
2020,National security and foreign policy,,78185,14174811,23682905,0.10954495500888138,4
2020,Others,,62592,13557911,23876452,0.10477746408819263,5
2020,Healthcare,,64447,13055836,24304021,0.10089735709515518,6
2020,Guns control,,19665,9537746,17166148,0.07370905731696446,7
2020,Abortion,,22879,9054285,16371225,0.06997280196276265,8
2020,Voter trust,,17795,6516448,12080943,0.05036003675658991,9
2024,Democratic concerns,Democrats threaten democracy,35350,8157277,11723056,0.12867744600112174,1
2024,Democratic concerns,Republicans threaten democracy,20126,7442343,10087979,0.11739967755224277,1
2024,Wokeness,Woke opposer,43427,10888449,15583697,0.1717604794140824,2
2024,Wokeness,Woke supporter,17806,3265597,5202411,0.051513352020401554,2
2024,National security and foreign policy,,55166,5547606,8009321,0.08751103726163754,3
2024,Economy,Negative Economic Outlook,16496,3216340,4643039,0.05073634457567738,4
2024,Economy,Positive Economic Outlook,10840,2078037,3033512,0.03278011692576248,4
2024,Abortion,,29876,5052634,7760231,0.07970307232406497,5
2024,Immigration,Anti-immigration,21259,3755462,5622026,0.059240756285984235,6
2024,Immigration,Pro-immigration,6889,623413,1041012,0.009834065049390538,6
2024,Guns control,,32117,4157305,6108228,0.06557965233345556,7
2024,Voter trust,,17679,3376274,4730651,0.053259232869006565,8
2024,Courts,,24010,2965654,4531073,0.04678188351860684,9
2024,Others,,30034,2866824,4300825,0.045222883868565426,10
