pair_key,pair_label,left_layer,right_layer,left_topic,right_topic,topic_a,topic_b,rho,p,lag,n,selected_from,is_significant,from_side,to_side,from_label,to_label,from_layer,to_layer,from_topic,to_topic
left_mid,Left–Mid,Joe Biden,Public Reaction,National security and foreign policy,National security and foreign policy,National security and foreign policy,National security and foreign policy,0.8320849285569818,2.2085814683445686e-08,-12,29,significant,True,A,B,Joe Biden,Public Reaction,Joe Biden,Public Reaction,National security and foreign policy,National security and foreign policy
left_mid,Left–Mid,Joe Biden,Public Reaction,National security and foreign policy,Wokeness,National security and foreign policy,Wokeness,0.41517021349523425,0.02802345952863564,6,28,significant,True,B,A,Public Reaction,Joe Biden,Public Reaction,Joe Biden,Wokeness,National security and foreign policy
left_mid,Left–Mid,Joe Biden,Public Reaction,National security and foreign policy,Democratic concerns,National security and foreign policy,Democratic concerns,-0.4977225124206006,0.021678074250238988,11,21,significant,True,B,A,Public Reaction,Joe Biden,Public Reaction,Joe Biden,Democratic concerns,National security and foreign policy
left_mid,Left–Mid,Joe Biden,Public Reaction,National security and foreign policy,Economy,National security and foreign policy,Economy,0.506850945932412,0.0009920582010663544,-1,39,significant,True,A,B,Joe Biden,Public Reaction,Joe Biden,Public Reaction,National security and foreign policy,Economy
left_mid,Left–Mid,Joe Biden,Public Reaction,National security and foreign policy,Guns control,National security and foreign policy,Guns control,0.37060642368595575,0.08952547718661905,10,22,fallback_all_lags,False,B,A,Public Reaction,Joe Biden,Public Reaction,Joe Biden,Guns control,National security and foreign policy
left_mid,Left–Mid,Joe Biden,Public Reaction,National security and foreign policy,Abortion,National security and foreign policy,Abortion,-0.39951437460129485,0.11211342282282209,14,17,fallback_all_lags,False,B,A,Public Reaction,Joe Biden,Public Reaction,Joe Biden,Abortion,National security and foreign policy
left_mid,Left–Mid,Joe Biden,Public Reaction,National security and foreign policy,Immigration,National security and foreign policy,Immigration,0.49787218702440683,0.0020026760348457115,-6,36,significant,True,A,B,Joe Biden,Public Reaction,Joe Biden,Public Reaction,National security and foreign policy,Immigration
left_mid,Left–Mid,Joe Biden,Public Reaction,National security and foreign policy,Healthcare,National security and foreign policy,Healthcare,0.2635219032205153,0.10502899677525428,-1,39,fallback_all_lags,False,A,B,Joe Biden,Public Reaction,Joe Biden,Public Reaction,National security and foreign policy,Healthcare
left_mid,Left–Mid,Joe Biden,Public Reaction,Wokeness,National security and foreign policy,Wokeness,National security and foreign policy,-0.4366573393982414,0.0796943223634217,14,17,fallback_all_lags,False,B,A,Public Reaction,Joe Biden,Public Reaction,Joe Biden,National security and foreign policy,Wokeness
left_mid,Left–Mid,Joe Biden,Public Reaction,Wokeness,Wokeness,Wokeness,Wokeness,-0.3911465744468754,0.12054003260289889,14,17,fallback_all_lags,False,B,A,Public Reaction,Joe Biden,Public Reaction,Joe Biden,Wokeness,Wokeness
