year,layer,topic,volume,stance_bias
2020,Joe Biden,National security and foreign policy,75.0,0.5964912280701754
2020,Joe Biden,Wokeness,339.0,0.426056338028169
2020,Joe Biden,Democratic concerns,209.0,0.07317073170731707
2020,Joe Biden,Economy,696.0,0.0542907180385289
2020,Joe Biden,Guns control,46.0,0.027777777777777776
2020,Joe Biden,Abortion,49.0,0.28205128205128205
2020,Joe Biden,Immigration,28.0,0.68
2020,Joe Biden,Healthcare,589.0,0.8147410358565738
2020,Public Reaction,National security and foreign policy,14190338.0,0.1629230332982002
2020,Public Reaction,Wokeness,32775039.0,-0.2990136412244249
2020,Public Reaction,Democratic concerns,28084943.0,-0.25629938514264905
2020,Public Reaction,Economy,20187516.0,-0.06833153752914466
2020,Public Reaction,Guns control,9538987.0,-0.6490249948730293
2020,Public Reaction,Abortion,9067261.0,-0.2876789714920737
2020,Public Reaction,Immigration,4316224.0,-0.20329918540092942
2020,Public Reaction,Healthcare,13073060.0,0.2707444049999773
2020,Donald Trump,National security and foreign policy,2358.0,0.5211571675302246
2020,Donald Trump,Wokeness,1651.0,-0.5257419745608722
2020,Donald Trump,Democratic concerns,1309.0,-0.4858490566037736
2020,Donald Trump,Economy,4994.0,0.394273127753304
2020,Donald Trump,Guns control,2277.0,-0.7215474583895637
2020,Donald Trump,Abortion,714.0,-0.14425770308123248
2020,Donald Trump,Immigration,1186.0,-0.7706576728499157
2020,Donald Trump,Healthcare,1517.0,0.4996704021094265
