pair_key,pair_label,left_layer,right_layer,left_topic,right_topic,topic_a,topic_b,rho,p,lag,n,selected_from,is_significant,from_side,to_side,from_label,to_label,from_layer,to_layer,from_topic,to_topic
mid_right,Mid–Right,Public Reaction,Donald Trump,National security and foreign policy,National security and foreign policy,National security and foreign policy,National security and foreign policy,0.5230570790825524,3.3143979902638855e-10,1,126,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,National security and foreign policy,National security and foreign policy
mid_right,Mid–Right,Public Reaction,Donald Trump,National security and foreign policy,Wokeness,National security and foreign policy,Wokeness,0.4157934092735569,1.286505348348687e-06,1,126,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Wokeness,National security and foreign policy
mid_right,Mid–Right,Public Reaction,Donald Trump,National security and foreign policy,Democratic concerns,National security and foreign policy,Democratic concerns,0.5223644936299631,4.1557699647793325e-10,3,125,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Democratic concerns,National security and foreign policy
mid_right,Mid–Right,Public Reaction,Donald Trump,National security and foreign policy,Economy,National security and foreign policy,Economy,0.414787095970902,1.6705572047383177e-06,5,124,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Economy,National security and foreign policy
mid_right,Mid–Right,Public Reaction,Donald Trump,National security and foreign policy,Guns control,National security and foreign policy,Guns control,0.49954327739950616,2.607024623974726e-09,1,126,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Guns control,National security and foreign policy
mid_right,Mid–Right,Public Reaction,Donald Trump,National security and foreign policy,Abortion,National security and foreign policy,Abortion,0.3164324106116577,0.000570508060276278,-6,115,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,National security and foreign policy,Abortion
mid_right,Mid–Right,Public Reaction,Donald Trump,National security and foreign policy,Immigration,National security and foreign policy,Immigration,0.1352197448600161,0.13113191754930542,1,126,fallback_all_lags,False,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Immigration,National security and foreign policy
mid_right,Mid–Right,Public Reaction,Donald Trump,National security and foreign policy,Healthcare,National security and foreign policy,Healthcare,0.16189541477352923,0.0712657371663089,-1,125,fallback_all_lags,False,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,National security and foreign policy,Healthcare
mid_right,Mid–Right,Public Reaction,Donald Trump,Wokeness,National security and foreign policy,Wokeness,National security and foreign policy,0.5319505295236229,1.125532494840617e-09,12,114,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,National security and foreign policy,Wokeness
mid_right,Mid–Right,Public Reaction,Donald Trump,Wokeness,Wokeness,Wokeness,Wokeness,0.5505545813134837,3.198685115158257e-10,13,112,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Wokeness,Wokeness
mid_right,Mid–Right,Public Reaction,Donald Trump,Wokeness,Democratic concerns,Wokeness,Democratic concerns,0.5742560010257909,3.596726122334489e-11,13,112,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Democratic concerns,Wokeness
mid_right,Mid–Right,Public Reaction,Donald Trump,Wokeness,Economy,Wokeness,Economy,0.4467905001090203,6.26116229237065e-07,12,114,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Economy,Wokeness
mid_right,Mid–Right,Public Reaction,Donald Trump,Wokeness,Guns control,Wokeness,Guns control,0.5755077655939987,3.1890482196260814e-11,13,112,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Guns control,Wokeness
mid_right,Mid–Right,Public Reaction,Donald Trump,Wokeness,Abortion,Wokeness,Abortion,0.4189597447674713,1.730133842489457e-06,-3,121,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Wokeness,Abortion
