left_layer,right_layer,left_topic,right_topic,rho,p,lag,n,selected_from,from_layer,to_layer,from_topic,to_topic
Kamala Harris,Public Reaction,Abortion,Abortion,0.5354173477425039,5.962033990163572e-13,2,156,significant,Public Reaction,Kamala Harris,Abortion,Abortion
Kamala Harris,Public Reaction,Abortion,Courts,-0.5975205735092686,4.426651383441962e-16,-6,152,significant,Kamala Harris,Public Reaction,Abortion,Courts
Kamala Harris,Public Reaction,Abortion,Democratic concerns,0.5916212845703351,5.234197350746659e-16,3,155,significant,Public Reaction,Kamala Harris,Democratic concerns,Abortion
Kamala Harris,Public Reaction,Abortion,Economy,0.6354797570768826,9.012038695500124e-18,-13,145,significant,Kamala Harris,Public Reaction,Abortion,Economy
Kamala Harris,Public Reaction,Abortion,Guns control,0.32101899046197585,6.559893816513946e-05,9,149,significant,Public Reaction,Kamala Harris,Guns control,Abortion
Kamala Harris,Public Reaction,Abortion,Immigration,0.652670195827803,8.209671473040212e-20,6,152,significant,Public Reaction,Kamala Harris,Immigration,Abortion
Kamala Harris,Public Reaction,Abortion,National security and foreign policy,0.3738431490208635,2.6487597522469864e-06,9,149,significant,Public Reaction,Kamala Harris,National security and foreign policy,Abortion
Kamala Harris,Public Reaction,Abortion,Voter trust,0.616359024335207,4.6119533533495604e-17,8,150,significant,Public Reaction,Kamala Harris,Voter trust,Abortion
Kamala Harris,Public Reaction,Abortion,Wokeness,0.5523723950293769,6.397238025863528e-14,1,157,significant,Public Reaction,Kamala Harris,Wokeness,Abortion
Kamala Harris,Public Reaction,Democratic concerns,Abortion,0.6047011643131104,5.0076657800226904e-17,1,157,significant,Public Reaction,Kamala Harris,Abortion,Democratic concerns
Kamala Harris,Public Reaction,Democratic concerns,Courts,-0.5298840713141157,5.1482748753720195e-12,-11,147,significant,Kamala Harris,Public Reaction,Democratic concerns,Courts
Kamala Harris,Public Reaction,Democratic concerns,Democratic concerns,0.5999333980135738,1.2722900625519796e-16,2,156,significant,Public Reaction,Kamala Harris,Democratic concerns,Democratic concerns
Kamala Harris,Public Reaction,Democratic concerns,Economy,0.6919767616289934,5.548014828951409e-22,-13,145,significant,Kamala Harris,Public Reaction,Democratic concerns,Economy
Kamala Harris,Public Reaction,Democratic concerns,Guns control,0.3464767604415226,1.7167037254271543e-05,11,147,significant,Public Reaction,Kamala Harris,Guns control,Democratic concerns
Kamala Harris,Public Reaction,Democratic concerns,Immigration,0.6729555120507316,4.7520010886748365e-22,1,157,significant,Public Reaction,Kamala Harris,Immigration,Democratic concerns
Kamala Harris,Public Reaction,Democratic concerns,National security and foreign policy,0.4905664706061583,4.329552135333417e-10,14,144,significant,Public Reaction,Kamala Harris,National security and foreign policy,Democratic concerns
Kamala Harris,Public Reaction,Democratic concerns,Voter trust,0.6277108228061483,8.238295735163192e-18,8,150,significant,Public Reaction,Kamala Harris,Voter trust,Democratic concerns
Kamala Harris,Public Reaction,Democratic concerns,Wokeness,0.70104126542901,1.576831458800068e-24,1,157,significant,Public Reaction,Kamala Harris,Wokeness,Democratic concerns
Kamala Harris,Public Reaction,Economy,Abortion,0.5988593148197434,1.4877867655500815e-16,2,156,significant,Public Reaction,Kamala Harris,Abortion,Economy
Kamala Harris,Public Reaction,Economy,Courts,-0.6296319499869333,2.836630928139693e-17,-14,144,significant,Kamala Harris,Public Reaction,Economy,Courts
Kamala Harris,Public Reaction,Economy,Democratic concerns,0.6186722419951197,3.2651760229936057e-17,8,150,significant,Public Reaction,Kamala Harris,Democratic concerns,Economy
Kamala Harris,Public Reaction,Economy,Economy,0.6903907652080865,2.056139104193532e-23,2,156,significant,Public Reaction,Kamala Harris,Economy,Economy
Kamala Harris,Public Reaction,Economy,Guns control,0.4877435252849039,3.228616070313271e-10,10,148,significant,Public Reaction,Kamala Harris,Guns control,Economy
Kamala Harris,Public Reaction,Economy,Immigration,0.6914661625660921,1.6493263708481885e-23,2,156,significant,Public Reaction,Kamala Harris,Immigration,Economy
Kamala Harris,Public Reaction,Economy,National security and foreign policy,0.4279331790898796,5.21644155447414e-08,9,149,significant,Public Reaction,Kamala Harris,National security and foreign policy,Economy
