,L|Immigration,L|National security and foreign policy,L|Democratic concerns,L|Abortion,L|Wokeness,L|Healthcare,L|Economy,L|Guns control,P|Courts,P|Guns control,P|National security and foreign policy,P|Voter trust,P|Democratic concerns,P|Wokeness,P|Immigration,P|Abortion,P|Economy,R|Wokeness,R|Guns control,R|Abortion,R|Immigration,R|Economy,R|National security and foreign policy,R|Democratic concerns,R|Voter trust
L|Immigration,1.0,0.8663684070223011,0.8058698242836816,0.7603020311541789,0.7412035993533443,0.7090359330421333,0.819296850694274,0.7710363831208907,,,,,0.7318671071289039,0.6284918145406746,0.7062348906651361,0.6659273169436714,0.6120050450126151,,,,,,,,
L|National security and foreign policy,0.8663684070223011,1.0,0.8263871894062029,0.7721087069781614,0.7028188257875982,0.7241343711753916,0.8339068571409355,,,,,,0.704153305114526,0.6727549626608468,0.6246291242156767,0.6024949020586643,0.58429525880348,,,,,,,,
L|Democratic concerns,0.8058698242836816,0.8263871894062029,1.0,0.9003503244052006,0.8197396477187668,0.8516313876827408,0.848407454777478,0.7568668913893133,,,,,0.7542083875758921,0.6818663348540887,0.7034125308353204,0.615805350436986,0.600333326554539,,,,,,,,
L|Abortion,0.7603020311541789,0.7721087069781614,0.9003503244052006,1.0,0.908827360579166,0.8750394362400943,0.8278112570434102,0.7997496026343051,,,,,0.5836564954449567,0.5626423336566738,0.6127755694236605,,0.5804326682047355,,,,,,,,
L|Wokeness,0.7412035993533443,0.7028188257875982,0.8197396477187668,0.908827360579166,1.0,0.8818496281776633,0.777622795367274,0.7752467119150058,,,,,0.5809526716775849,0.5864934875020043,0.6277066856332935,,,,,,,,,,
L|Healthcare,0.7090359330421333,0.7241343711753916,0.8516313876827408,0.8750394362400943,0.8818496281776633,1.0,0.8566744156630026,0.7901795290485863,,,,,0.6052522013980189,0.6101400607007251,0.6720215525835118,,,,,,,,,,
L|Economy,0.819296850694274,0.8339068571409355,0.848407454777478,0.8278112570434102,0.777622795367274,0.8566744156630026,1.0,0.8154386183480543,,,,,0.7515421429202157,0.7006164192748745,0.6638553537038479,0.639098457185796,0.6418658360308638,,,,,,,,
L|Guns control,0.7710363831208907,,0.7568668913893133,0.7997496026343051,0.7752467119150058,0.7901795290485863,0.8154386183480543,1.0,,,,,0.5553232220257622,0.6146751809985708,0.6786639902033998,0.6514015602706752,0.6531415751921202,,,,,,,,
P|Courts,,,,,,,,,1.0,,0.4393072669988176,,,,0.42000355387885374,,,,,,,,,,
P|Guns control,,,,,,,,,,1.0,0.5165118679050567,,,,,,,,,,,,,,
P|National security and foreign policy,,,,,,,,,0.4393072669988176,0.5165118679050567,1.0,0.46089024665286116,0.503160901865103,0.45237460616871356,0.4141601569174201,0.48821069034096726,,,,,,,,,
P|Voter trust,,,,,,,,,,,0.46089024665286116,1.0,0.5265003177987821,0.43540825183332305,,,0.44597420704078067,0.6228046755900537,0.5516756610644549,0.5480709207375349,0.5926976726259718,0.5796192621544252,0.5775296529105557,0.5382191177799586,0.5644088925596287
P|Democratic concerns,0.7318671071289039,0.704153305114526,0.7542083875758921,0.5836564954449567,0.5809526716775849,0.6052522013980189,0.7515421429202157,0.5553232220257622,,,0.503160901865103,0.5265003177987821,1.0,0.7556059021726502,0.5232949924480074,0.5680157737546045,0.4618436429992004,0.794081685477126,0.7700873262066805,0.8045451480550356,0.7371225963004956,0.7714459701491744,0.7938900635186806,0.8685486064040661,0.87722120597797
P|Wokeness,0.6284918145406746,0.6727549626608468,0.6818663348540887,0.5626423336566738,0.5864934875020043,0.6101400607007251,0.7006164192748745,0.6146751809985708,,,0.45237460616871356,0.43540825183332305,0.7556059021726502,1.0,0.6758384078622736,0.6181083796362741,0.5027474217292354,0.7370141020038516,0.7140419185280191,0.7791785700403718,0.7354225204556525,0.7489777833200904,0.742336345803994,0.8127701948140414,0.7868945409418461
P|Immigration,0.7062348906651361,0.6246291242156767,0.7034125308353204,0.6127755694236605,0.6277066856332935,0.6720215525835118,0.6638553537038479,0.6786639902033998,0.42000355387885374,,0.4141601569174201,,0.5232949924480074,0.6758384078622736,1.0,0.6648384693717152,,0.7110225770423209,0.6822183588931165,0.6734443000425829,0.6172488566026173,0.6317955003954704,0.641731100507512,0.7240433277852235,0.7030305924941411
P|Abortion,0.6659273169436714,0.6024949020586643,0.615805350436986,,,,0.639098457185796,0.6514015602706752,,,0.48821069034096726,,0.5680157737546045,0.6181083796362741,0.6648384693717152,1.0,0.5330442389573466,0.5582870092187916,0.5531299377095191,0.6233930520174584,0.5996179592785279,0.6065991604766001,0.6174516295701885,0.7162962273182892,0.7199186932717405
P|Economy,0.6120050450126151,0.58429525880348,0.600333326554539,0.5804326682047355,,,0.6418658360308638,0.6531415751921202,,,,0.44597420704078067,0.4618436429992004,0.5027474217292354,,0.5330442389573466,1.0,,0.5695052704827668,0.5762504433747033,0.6405377491604749,0.6277370403586245,0.7045111904152526,0.6353557159337694,0.6156969282505786
R|Wokeness,,,,,,,,,,,,0.6228046755900537,0.794081685477126,0.7370141020038516,0.7110225770423209,0.5582870092187916,,1.0,0.9060455387862587,0.8745481519491698,0.7719550842397122,0.7832538721695753,0.8034893825877972,0.7861104620649593,0.7946044543242198
R|Guns control,,,,,,,,,,,,0.5516756610644549,0.7700873262066805,0.7140419185280191,0.6822183588931165,0.5531299377095191,0.5695052704827668,0.9060455387862587,1.0,0.8791728984746862,0.845188528193177,0.821000962273575,0.8200926593874637,0.8039339941109666,0.8057360021778437
R|Abortion,,,,,,,,,,,,0.5480709207375349,0.8045451480550356,0.7791785700403718,0.6734443000425829,0.6233930520174584,0.5762504433747033,0.8745481519491698,0.8791728984746862,1.0,0.8512609413760535,0.7786081811492778,0.8207569213070697,0.8398719534166957,0.8174919670295264
R|Immigration,,,,,,,,,,,,0.5926976726259718,0.7371225963004956,0.7354225204556525,0.6172488566026173,0.5996179592785279,0.6405377491604749,0.7719550842397122,0.845188528193177,0.8512609413760535,1.0,0.9186828979906918,0.8837810203794091,0.8411792848416743,0.82081981572065
R|Economy,,,,,,,,,,,,0.5796192621544252,0.7714459701491744,0.7489777833200904,0.6317955003954704,0.6065991604766001,0.6277370403586245,0.7832538721695753,0.821000962273575,0.7786081811492778,0.9186828979906918,1.0,0.9316086336906417,0.8713018421867263,0.8744727627291865
R|National security and foreign policy,,,,,,,,,,,,0.5775296529105557,0.7938900635186806,0.742336345803994,0.641731100507512,0.6174516295701885,0.7045111904152526,0.8034893825877972,0.8200926593874637,0.8207569213070697,0.8837810203794091,0.9316086336906417,1.0,0.8931291475432691,0.8849667912285641
R|Democratic concerns,,,,,,,,,,,,0.5382191177799586,0.8685486064040661,0.8127701948140414,0.7240433277852235,0.7162962273182892,0.6353557159337694,0.7861104620649593,0.8039339941109666,0.8398719534166957,0.8411792848416743,0.8713018421867263,0.8931291475432691,1.0,0.9778526337614866
R|Voter trust,,,,,,,,,,,,0.5644088925596287,0.87722120597797,0.7868945409418461,0.7030305924941411,0.7199186932717405,0.6156969282505786,0.7946044543242198,0.8057360021778437,0.8174919670295264,0.82081981572065,0.8744727627291865,0.8849667912285641,0.9778526337614866,1.0
