,L|Wokeness,L|Abortion,L|Healthcare,L|Democratic concerns,L|Economy,L|National security and foreign policy,L|Guns control,gapL0,gapL1,P|Abortion,P|Guns control,P|Healthcare,P|National security and foreign policy,P|Wokeness,P|Economy,P|Democratic concerns,P|Immigration,gapP0,gapP1,R|Healthcare,R|Abortion,R|Wokeness,R|Democratic concerns,R|Guns control,R|Economy,R|National security and foreign policy,R|Immigration
L|Wokeness,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
L|Abortion,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
L|Healthcare,,,1.0,0.5819575893735057,,,,,,,,,,,,,,,,,,,,,,,
L|Democratic concerns,,,0.5819575893735057,1.0,0.6750539380431914,0.5679249993076109,,,,,,,,,,,,,,,,,,,,,
L|Economy,,,,0.6750539380431914,1.0,,,,,,,,,,,,,,,,,,,,,,
L|National security and foreign policy,,,,0.5679249993076109,,1.0,,,,,,,,,,,,,,,,,,,,,
L|Guns control,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gapL0,,,,,,,,,,,,,,,,,,,,,,,,,,,
gapL1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P|Abortion,,,-0.5998305802592232,,,,,,,1.0,,,,,,,,,,,,,,,,,
P|Guns control,,,0.6372549019607844,,,,,,,,1.0,,,,,,,,,,,,,,,,
P|Healthcare,,,0.6911764705882353,,,,,,,,,1.0,0.5034645437122217,,0.4709098950585018,,,,,,,,,,,,
P|National security and foreign policy,,,,,-0.6241877839323592,0.8320849285569818,0.6132388066197537,,,,,0.5034645437122217,1.0,0.5971412488440352,0.5730971814563145,0.4328200179593367,,,,,,,,,,,
P|Wokeness,,,,,,,,,,,,,0.5971412488440352,1.0,0.5842346507981182,,,,,,,,,,,,
P|Economy,,-0.684208969950337,0.6181726343279921,0.699747387723385,,,,,,,,0.4709098950585018,0.5730971814563145,0.5842346507981182,1.0,0.4735032769088496,0.44086486269148806,,,,,,,,,,
P|Democratic concerns,0.5816129648263707,,,0.75823993360897,0.7407975277812364,,,,,,,,0.4328200179593367,,0.4735032769088496,1.0,,,,,,,,,,,
P|Immigration,,-0.6829626876735604,,,,,,,,,,,,,0.44086486269148806,,1.0,,,,,,,,,,
gapP0,,,,,,,,,,,,,,,,,,,,,,,,,,,
gapP1,,,,,,,,,,,,,,,,,,,,,,,,,,,
R|Healthcare,,,,,,,,,,,,,,,,,,,,1.0,0.5966470196183441,,,,0.5518383261453427,,
R|Abortion,,,,,,,,,,,,,,,,,,,,0.5966470196183441,1.0,0.7075524037964748,0.6576462761890473,0.7766562838125894,0.6988947747353889,0.5459515031528787,0.5989844526064955
R|Wokeness,,,,,,,,,,,,,,0.5505545813134837,0.6782608238491936,,,,,,0.7075524037964748,1.0,0.9316336450533227,0.8671368740315162,0.7414819751633855,0.7218408279342203,0.6598106282563343
R|Democratic concerns,,,,,,,,,,,,,,0.5742560010257909,0.795315702144554,,,,,,0.6576462761890473,0.9316336450533227,1.0,0.8968024533088818,0.7845060778208661,0.780026905498312,0.6933983806338881
R|Guns control,,,,,,,,,,,,,,0.5755077655939987,0.7377445813671493,,,,,,0.7766562838125894,0.8671368740315162,0.8968024533088818,1.0,0.827044677693826,0.8004315558084447,0.6908696435015774
R|Economy,,,,,,,,,,,,,,,0.6747572286895476,,,,,0.5518383261453427,0.6988947747353889,0.7414819751633855,0.7845060778208661,0.827044677693826,1.0,0.8136985551499393,0.7189270665318676
R|National security and foreign policy,,,,,,,,,,,,,,,0.7937754523735454,,,,,,0.5459515031528787,0.7218408279342203,0.780026905498312,0.8004315558084447,0.8136985551499393,1.0,0.7046556700929629
R|Immigration,,,,,,,,,,,,,,,0.6449435526813451,,,,,,0.5989844526064955,0.6598106282563343,0.6933983806338881,0.6908696435015774,0.7189270665318676,0.7046556700929629,1.0
