,L|Guns control,L|Democratic concerns,L|Healthcare,L|Wokeness,L|Abortion,L|Economy,L|Immigration,L|National security and foreign policy,gapL0,gapL1,P|Guns control,P|National security and foreign policy,P|Democratic concerns,P|Wokeness,P|Immigration,P|Abortion,P|Economy,gapP0,gapP1,R|Immigration,R|Economy,R|National security and foreign policy,R|Democratic concerns,R|Guns control,R|Wokeness,R|Abortion
L|Guns control,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
L|Democratic concerns,,1.0,0.7795430433675478,,,,,,,,,,,,,,,,,,,,,,,
L|Healthcare,,0.7795430433675478,1.0,0.7676599057198573,0.752406266171644,,,,,,,,,,,,,,,,,,,,,
L|Wokeness,,,0.7676599057198573,1.0,0.7365290476973996,,,,,,,,,,,,,,,,,,,,,
L|Abortion,,,0.752406266171644,0.7365290476973996,1.0,,,,,,,,,,,,,,,,,,,,,
L|Economy,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
L|Immigration,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
L|National security and foreign policy,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
gapL0,,,,,,,,,,,,,,,,,,,,,,,,,,
gapL1,,,,,,,,,,,,,,,,,,,,,,,,,,
P|Guns control,,,-0.5839859611606194,-0.6438339453773713,-0.7202299943092095,,,,,,1.0,0.4142490662145504,,,,,,,,,,,,,,
P|National security and foreign policy,,,,,,-0.5439109428319383,,,,,0.4142490662145504,1.0,,,,,,,,,,,,,,
P|Democratic concerns,,0.7660606747387575,,,,,,0.5312520377981743,,,,,1.0,0.6483525026190415,,0.4592484554133644,,,,,,,,,,
P|Wokeness,-0.636966510165291,,,,,,,,,,,,0.6483525026190415,1.0,0.6372507283341416,0.5722207620577707,0.41416022240566824,,,,,,,,,
P|Immigration,,,,0.5365412050577407,,,,,,,,,,0.6372507283341416,1.0,0.6177495122845076,,,,,,,,,,
P|Abortion,,,,,,,,,,,,,0.4592484554133644,0.5722207620577707,0.6177495122845076,1.0,0.459274368190955,,,,,,,,,
P|Economy,,,,,,,,,,,,,,0.41416022240566824,,0.459274368190955,1.0,,,,,,,,,
gapP0,,,,,,,,,,,,,,,,,,,,,,,,,,
gapP1,,,,,,,,,,,,,,,,,,,,,,,,,,
R|Immigration,,,,,,,,,,,,,0.6627176628281851,0.6558467238546033,,,,,,1.0,0.8865680972022173,0.8108864162812779,0.8065045682758695,0.7409060206419992,,
R|Economy,,,,,,,,,,,,,0.7024924889403059,0.6650067763154642,,,0.7337896183141855,,,0.8865680972022173,1.0,0.8596155217445642,0.8264982173638847,0.7659226820996753,0.7388416581717374,
R|National security and foreign policy,,,,,,,,,,,,,0.7928666065213095,0.770791958289397,,,0.5336029144647442,,,0.8108864162812779,0.8596155217445642,1.0,0.8671736166080422,0.7490966236530886,0.7523177612247186,0.7386127834810506
R|Democratic concerns,,,,,,,,,,,,,0.9048565830003972,0.81012311340004,,,,,,0.8065045682758695,0.8264982173638847,0.8671736166080422,1.0,0.7778960727599264,0.7692156035543691,0.7637357107692654
R|Guns control,,,,,,,,,,,,,0.7520763715265412,0.6088288589098194,0.57126382009598,,,,,0.7409060206419992,0.7659226820996753,0.7490966236530886,0.7778960727599264,1.0,0.9029936276037152,0.8226529674734202
R|Wokeness,,,,,,,,,,,,,0.7623859724598802,0.5946932257276242,,,,,,,0.7388416581717374,0.7523177612247186,0.7692156035543691,0.9029936276037152,1.0,0.8265293379910793
R|Abortion,,,,,,,,,,,,,0.8484927259621889,0.6784797967519707,0.5600637150666481,,,,,,,0.7386127834810506,0.7637357107692654,0.8226529674734202,0.8265293379910793,1.0
