layer,topic,volume,stance_bias,x,y,radius
Joe Biden,Wokeness,339.0,0.426056338028169,-3.8,-1.0,0.2680492813141684
Joe Biden,Democratic concerns,209.0,0.07317073170731707,-3.8,0.1499999999999999,0.22
Joe Biden,Economy,696.0,0.0542907180385289,-4.795929214352104,-1.5750000000000002,0.4
Joe Biden,Healthcare,589.0,0.8147410358565738,-2.804070785647896,-1.5750000000000006,0.3604517453798768
Public Reaction,Wokeness,32775039.0,-0.2990136412244249,0.0,1.7,0.4
Public Reaction,Democratic concerns,28084943.0,-0.25629938514264905,7.04171909509728e-17,2.8499999999999996,0.35715063547677117
Public Reaction,Economy,20187516.0,-0.06833153752914466,-0.9959292143521044,1.125,0.284998652165856
Public Reaction,Healthcare,13073060.0,0.2707444049999773,0.995929214352104,1.1249999999999996,0.22
Donald Trump,Wokeness,1651.0,-0.5257419745608722,3.8,-1.0,0.23670556309362278
Donald Trump,Democratic concerns,1309.0,-0.4858490566037736,3.8,0.1499999999999999,0.22
Donald Trump,Economy,4994.0,0.394273127753304,2.8040707856478955,-1.5750000000000002,0.4
Donald Trump,Healthcare,1517.0,0.4996704021094265,4.795929214352104,-1.5750000000000006,0.23016010854816826
