Pro-Biden,Anti-Biden,Pro-Trump,Anti-Trump,Neither,dem_favorable_likes,rep_favorable_likes,total_likes,support_difference,date
110550.0,236322.0,39304.0,1269082.0,2346502.0,1379632.0,275626.0,4001760.0,0.2758801127503898,2020-06-01 00:00:00+00:00
113764.0,400566.0,55660.0,1490261.0,2758777.0,1604025.0,456226.0,4819028.0,0.23818060405542363,2020-06-02 00:00:00+00:00
132434.0,432879.0,60041.0,1617826.0,3108947.0,1750260.0,492920.0,5352127.0,0.23492342390231025,2020-06-03 00:00:00+00:00
162044.0,478196.0,73427.0,1799063.0,3498725.0,1961107.0,551623.0,6011455.0,0.2344663646321897,2020-06-04 00:00:00+00:00
180626.0,700675.0,392225.0,1666581.0,3570833.0,1847207.0,1092900.0,6510940.0,0.1158522425333362,2020-06-05 00:00:00+00:00
138580.0,735972.0,391568.0,1440324.0,3458882.0,1578904.0,1127540.0,6165326.0,0.07321007842894277,2020-06-06 00:00:00+00:00
136856.0,756897.0,393075.0,1281635.0,3128058.0,1418491.0,1149972.0,5696521.0,0.04713736682441792,2020-06-07 00:00:00+00:00
117924.0,705879.0,393600.0,1163447.0,3382466.0,1281371.0,1099479.0,5763316.0,0.031560303131044694,2020-06-08 00:00:00+00:00
115422.0,748944.0,417990.0,1103645.0,3360680.0,1219067.0,1166934.0,5746681.0,0.00907184512242806,2020-06-09 00:00:00+00:00
111859.0,763882.0,424580.0,1116829.0,3294617.0,1228688.0,1188462.0,5711767.0,0.0070426542259164285,2020-06-10 00:00:00+00:00
83575.0,778352.0,521813.0,1028609.0,3179348.0,1112184.0,1300165.0,5591697.0,-0.03361788022491204,2020-06-11 00:00:00+00:00
87445.0,590843.0,214078.0,989718.0,3046462.0,1077163.0,804921.0,4928546.0,0.05523779224136287,2020-06-12 00:00:00+00:00
80765.0,559426.0,215133.0,915560.0,3029672.0,996325.0,774559.0,4800556.0,0.04619589897503539,2020-06-13 00:00:00+00:00
87812.0,533451.0,211664.0,979586.0,2986009.0,1067398.0,745115.0,4798522.0,0.06716297226521,2020-06-14 00:00:00+00:00
100257.0,537450.0,226324.0,1074071.0,2750602.0,1174328.0,763774.0,4688704.0,0.0875623626486125,2020-06-15 00:00:00+00:00
114412.0,397855.0,194312.0,1081641.0,2973624.0,1196053.0,592167.0,4761844.0,0.12681767819357376,2020-06-16 00:00:00+00:00
107574.0,400902.0,206159.0,1055972.0,2990497.0,1163546.0,607061.0,4761104.0,0.11688150479384614,2020-06-17 00:00:00+00:00
106387.0,432697.0,159805.0,1150385.0,3108044.0,1256772.0,592502.0,4957318.0,0.1339978593263535,2020-06-18 00:00:00+00:00
81974.0,440268.0,150655.0,1315893.0,2889124.0,1397867.0,590923.0,4877914.0,0.1654280907781482,2020-06-19 00:00:00+00:00
80495.0,441835.0,163848.0,1381471.0,3090798.0,1461966.0,605683.0,5158447.0,0.16599627756183208,2020-06-20 00:00:00+00:00
141784.0,477775.0,160838.0,1340164.0,3526685.0,1481948.0,638613.0,5647246.0,0.1493356230629939,2020-06-21 00:00:00+00:00
130210.0,496775.0,144503.0,1277000.0,3632854.0,1407210.0,641278.0,5681342.0,0.1348153306032272,2020-06-22 00:00:00+00:00
