Pro-Harris,Anti-Harris,Pro-Trump,Anti-Trump,Neither,dem_favorable_likes,rep_favorable_likes,total_likes,support_difference,date
191875.0,459636.0,32320.0,266858.0,1738673.0,458733.0,491956.0,2689362.0,-0.012353487555784606,2024-08-01 00:00:00+00:00
225148.0,625902.0,33601.0,360924.0,2169201.0,586072.0,659503.0,3414776.0,-0.021503899523716927,2024-08-02 00:00:00+00:00
456655.0,927505.0,34350.0,453748.0,3897876.0,910403.0,961855.0,5770134.0,-0.00891695062887621,2024-08-03 00:00:00+00:00
538775.0,1125718.0,34519.0,521307.0,5066545.0,1060082.0,1160237.0,7286864.0,-0.013744595754771875,2024-08-04 00:00:00+00:00
563467.0,1172462.0,32072.0,507019.0,5590297.0,1070486.0,1204534.0,7865317.0,-0.01704292401692138,2024-08-05 00:00:00+00:00
542504.0,1237219.0,26609.0,486228.0,5968789.0,1028732.0,1263828.0,8261349.0,-0.028457337899657792,2024-08-06 00:00:00+00:00
494092.0,1258647.0,37425.0,491595.0,6012877.0,985687.0,1296072.0,8294636.0,-0.03741996634933709,2024-08-07 00:00:00+00:00
498217.0,1271789.0,41600.0,500419.0,6081722.0,998636.0,1313389.0,8393747.0,-0.03749850930698769,2024-08-08 00:00:00+00:00
482445.0,1274035.0,41751.0,473966.0,6272417.0,956411.0,1315786.0,8544614.0,-0.04205865823780922,2024-08-09 00:00:00+00:00
264546.0,1164329.0,41301.0,506284.0,5187696.0,770830.0,1205630.0,7164156.0,-0.06069102906190206,2024-08-10 00:00:00+00:00
205671.0,1139107.0,43074.0,562832.0,4703198.0,768503.0,1182181.0,6653882.0,-0.06217092518322387,2024-08-11 00:00:00+00:00
200264.0,1089871.0,47331.0,557266.0,4269845.0,757530.0,1137202.0,6164577.0,-0.06158930288323108,2024-08-12 00:00:00+00:00
186363.0,1079166.0,52885.0,568359.0,4038178.0,754722.0,1132051.0,5924951.0,-0.06368474608481994,2024-08-13 00:00:00+00:00
189235.0,1041461.0,23800.0,587901.0,4031343.0,777136.0,1065261.0,5873740.0,-0.049053073510233684,2024-08-14 00:00:00+00:00
171205.0,1071258.0,19736.0,569025.0,4129875.0,740230.0,1090994.0,5961099.0,-0.058842169875051566,2024-08-15 00:00:00+00:00
204468.0,1008429.0,22052.0,577494.0,4029672.0,781962.0,1030481.0,5842115.0,-0.04253921738959264,2024-08-16 00:00:00+00:00
266241.0,991288.0,24885.0,636298.0,4127676.0,902539.0,1016173.0,6046388.0,-0.018793699643489634,2024-08-17 00:00:00+00:00
350877.0,958004.0,27827.0,735618.0,4299156.0,1086495.0,985831.0,6371482.0,0.015799150025064813,2024-08-18 00:00:00+00:00
391937.0,965028.0,31007.0,774812.0,5348619.0,1166749.0,996035.0,7511403.0,0.022727312061408503,2024-08-19 00:00:00+00:00
543654.0,1158995.0,83867.0,888093.0,6055431.0,1431747.0,1242862.0,8730040.0,0.02163621243430729,2024-08-20 00:00:00+00:00
539325.0,1223115.0,89645.0,880346.0,6167980.0,1419671.0,1312760.0,8900411.0,0.012011917202475256,2024-08-21 00:00:00+00:00
541084.0,1193853.0,96514.0,882923.0,6042027.0,1424007.0,1290367.0,8756401.0,0.015261978066102728,2024-08-22 00:00:00+00:00
518731.0,1360380.0,101138.0,857811.0,6162904.0,1376542.0,1461518.0,9000964.0,-0.00944076656678107,2024-08-23 00:00:00+00:00
509733.0,1362216.0,100185.0,787740.0,6007526.0,1297473.0,1462401.0,8767400.0,-0.018811506261833612,2024-08-24 00:00:00+00:00
430689.0,1400432.0,99490.0,641077.0,5591595.0,1071766.0,1499922.0,8163283.0,-0.052448996316800486,2024-08-25 00:00:00+00:00
369112.0,1428202.0,95772.0,578236.0,4494634.0,947348.0,1523974.0,6965956.0,-0.0827777264168766,2024-08-26 00:00:00+00:00
197074.0,1314309.0,35155.0,452930.0,3839834.0,650004.0,1349464.0,5839302.0,-0.11978486469786971,2024-08-27 00:00:00+00:00
187036.0,1363279.0,34931.0,445808.0,3656904.0,632844.0,1398210.0,5687958.0,-0.13455901045682828,2024-08-28 00:00:00+00:00
178316.0,1359987.0,28596.0,447232.0,3629052.0,625548.0,1388583.0,5643183.0,-0.13521358424846402,2024-08-29 00:00:00+00:00
188785.0,1172694.0,20659.0,424010.0,3508432.0,612795.0,1193353.0,5314580.0,-0.10923873570442066,2024-08-30 00:00:00+00:00
159699.0,1128205.0,21662.0,372864.0,3448428.0,532563.0,1149867.0,5130858.0,-0.12031204137787481,2024-08-31 00:00:00+00:00
169074.0,1210489.0,20098.0,386241.0,3409955.0,555315.0,1230587.0,5195857.0,-0.12996354595594142,2024-09-01 00:00:00+00:00
164618.0,1238292.0,31432.0,399339.0,3374826.0,563957.0,1269724.0,5208507.0,-0.13550274579644417,2024-09-02 00:00:00+00:00
175890.0,1190626.0,43948.0,449194.0,3107235.0,625084.0,1234574.0,4966893.0,-0.12271051540671402,2024-09-03 00:00:00+00:00
199563.0,1045538.0,46358.0,468986.0,3101987.0,668549.0,1091896.0,4862432.0,-0.08706486795085258,2024-09-04 00:00:00+00:00
206960.0,1037513.0,64437.0,480445.0,3086047.0,687405.0,1101950.0,4875402.0,-0.08502786026670212,2024-09-05 00:00:00+00:00
175095.0,1129721.0,81847.0,538502.0,2983117.0,713597.0,1211568.0,4908282.0,-0.1014552546084353,2024-09-06 00:00:00+00:00
154343.0,1259409.0,90183.0,538799.0,2942565.0,693142.0,1349592.0,4985299.0,-0.1316771571775334,2024-09-07 00:00:00+00:00
408793.0,1410877.0,99363.0,815105.0,4515860.0,1223898.0,1510240.0,7249998.0,-0.03949545917116115,2024-09-08 00:00:00+00:00
415213.0,1426186.0,95571.0,864014.0,4735058.0,1279227.0,1521757.0,7536042.0,-0.03218267626427772,2024-09-09 00:00:00+00:00
436777.0,1525776.0,86408.0,825171.0,4977551.0,1261948.0,1612184.0,7851683.0,-0.04460648755177712,2024-09-10 00:00:00+00:00
410419.0,1579509.0,84028.0,797175.0,5087832.0,1207594.0,1663537.0,7958963.0,-0.05728673446528147,2024-09-11 00:00:00+00:00
412194.0,1598720.0,68382.0,813509.0,5210420.0,1225703.0,1667102.0,8103225.0,-0.054472015771498385,2024-09-12 00:00:00+00:00
420304.0,1519494.0,60777.0,762482.0,5471365.0,1182786.0,1580271.0,8234422.0,-0.04827114762881961,2024-09-13 00:00:00+00:00
431405.0,1342097.0,54515.0,765756.0,5685020.0,1197161.0,1396612.0,8278793.0,-0.024091796956392072,2024-09-14 00:00:00+00:00
153093.0,1071870.0,86082.0,507668.0,4224079.0,660761.0,1157952.0,6042792.0,-0.08227835742153627,2024-09-15 00:00:00+00:00
155788.0,1044128.0,144070.0,433157.0,4026800.0,588945.0,1188198.0,5803943.0,-0.10324929104231383,2024-09-16 00:00:00+00:00
131614.0,906706.0,147891.0,436185.0,3867785.0,567799.0,1054597.0,5490181.0,-0.08866702208907139,2024-09-17 00:00:00+00:00
139483.0,1007926.0,145167.0,433988.0,3756469.0,573471.0,1153093.0,5483033.0,-0.10571192987530806,2024-09-18 00:00:00+00:00
173308.0,991213.0,145636.0,392948.0,3564609.0,566256.0,1136849.0,5267714.0,-0.10831890265872444,2024-09-19 00:00:00+00:00
176943.0,987014.0,181535.0,433179.0,3242048.0,610122.0,1168549.0,5020719.0,-0.11122450788422933,2024-09-20 00:00:00+00:00
160350.0,1099012.0,181344.0,474602.0,3012985.0,634952.0,1280356.0,4928293.0,-0.1309589344627034,2024-09-21 00:00:00+00:00
164062.0,1131418.0,143042.0,450014.0,2940240.0,614076.0,1274460.0,4828776.0,-0.13676012306224186,2024-09-22 00:00:00+00:00
138392.0,1102129.0,74890.0,436748.0,2875943.0,575140.0,1177019.0,4628102.0,-0.13004877593449757,2024-09-23 00:00:00+00:00
136549.0,1075375.0,67519.0,433457.0,2745974.0,570006.0,1142894.0,4458874.0,-0.12848266176617684,2024-09-24 00:00:00+00:00
131053.0,946229.0,67994.0,425498.0,2707924.0,556551.0,1014223.0,4278698.0,-0.1069652497091405,2024-09-25 00:00:00+00:00
91272.0,995397.0,69092.0,435615.0,2793665.0,526887.0,1064489.0,4385041.0,-0.12259908174176706,2024-09-26 00:00:00+00:00
93264.0,999088.0,48758.0,418563.0,2835143.0,511827.0,1047846.0,4394816.0,-0.12196619835733737,2024-09-27 00:00:00+00:00
104870.0,911278.0,44527.0,383129.0,2892780.0,487999.0,955805.0,4336584.0,-0.10787430844185193,2024-09-28 00:00:00+00:00
105806.0,1071659.0,51164.0,469133.0,4803545.0,574939.0,1122823.0,6501307.0,-0.08427290081825085,2024-09-29 00:00:00+00:00
124448.0,990860.0,52038.0,561543.0,4942017.0,685991.0,1042898.0,6670906.0,-0.05350202806035642,2024-09-30 00:00:00+00:00
166587.0,1044181.0,58617.0,606709.0,5147588.0,773296.0,1102798.0,7023682.0,-0.0469130009018062,2024-10-01 00:00:00+00:00
168920.0,1049875.0,88066.0,641529.0,5177447.0,810449.0,1137941.0,7125837.0,-0.045958390572223305,2024-10-02 00:00:00+00:00
177673.0,958893.0,84995.0,667149.0,5305029.0,844822.0,1043888.0,7193739.0,-0.027672118768834957,2024-10-03 00:00:00+00:00
164905.0,919248.0,76745.0,657957.0,5351167.0,822862.0,995993.0,7170022.0,-0.024146508894951787,2024-10-04 00:00:00+00:00
178043.0,997665.0,80315.0,684451.0,5261799.0,862494.0,1077980.0,7202273.0,-0.029919165796686686,2024-10-05 00:00:00+00:00
183281.0,914762.0,73539.0,572273.0,3301245.0,755554.0,988301.0,5045100.0,-0.04613327783393788,2024-10-06 00:00:00+00:00
173476.0,987171.0,71316.0,512807.0,3128982.0,686283.0,1058487.0,4873752.0,-0.07636908894830922,2024-10-07 00:00:00+00:00
140553.0,1065650.0,76638.0,509074.0,3037005.0,649627.0,1142288.0,4828920.0,-0.10202301964000232,2024-10-08 00:00:00+00:00
144286.0,1087699.0,59552.0,507703.0,3152019.0,651989.0,1147251.0,4951259.0,-0.10002748795811328,2024-10-09 00:00:00+00:00
141005.0,1185705.0,69156.0,513042.0,2975993.0,654047.0,1254861.0,4884901.0,-0.1229940995733588,2024-10-10 00:00:00+00:00
175885.0,1317796.0,72300.0,554726.0,3188173.0,730611.0,1390096.0,5308880.0,-0.12422299995479272,2024-10-11 00:00:00+00:00
181712.0,1314997.0,75504.0,573950.0,3324749.0,755662.0,1390501.0,5470912.0,-0.11603897119895183,2024-10-12 00:00:00+00:00
204917.0,1242948.0,73327.0,638393.0,3520031.0,843310.0,1316275.0,5679616.0,-0.08327411571486523,2024-10-13 00:00:00+00:00
198520.0,1497535.0,73821.0,626291.0,3667684.0,824811.0,1571356.0,6063851.0,-0.12311400791345302,2024-10-14 00:00:00+00:00
189766.0,1409668.0,75463.0,637258.0,3818083.0,827024.0,1485131.0,6130238.0,-0.10735423322879144,2024-10-15 00:00:00+00:00
215542.0,1375496.0,62927.0,645974.0,3589510.0,861516.0,1438423.0,5889449.0,-0.09795602271112289,2024-10-16 00:00:00+00:00
284323.0,1465672.0,88109.0,637080.0,3664186.0,921403.0,1553781.0,6139370.0,-0.10300372839558457,2024-10-17 00:00:00+00:00
261999.0,1452283.0,69886.0,667052.0,3621891.0,929051.0,1522169.0,6073111.0,-0.09766296054855576,2024-10-18 00:00:00+00:00
275192.0,1423288.0,74193.0,670062.0,3850723.0,945254.0,1497481.0,6293458.0,-0.08774619612937752,2024-10-19 00:00:00+00:00
285507.0,1519554.0,80606.0,696385.0,4107194.0,981892.0,1600160.0,6689246.0,-0.09242715845702192,2024-10-20 00:00:00+00:00
322546.0,1380253.0,84612.0,777313.0,4253782.0,1099859.0,1464865.0,6818506.0,-0.053531668080954976,2024-10-21 00:00:00+00:00
378269.0,1471092.0,85030.0,798320.0,4202639.0,1176589.0,1556122.0,6935350.0,-0.05472441909925238,2024-10-22 00:00:00+00:00
422193.0,1519600.0,116955.0,784894.0,4405084.0,1207087.0,1636555.0,7248726.0,-0.05924737671143867,2024-10-23 00:00:00+00:00
372918.0,1428653.0,101412.0,810702.0,4438900.0,1183620.0,1530065.0,7152585.0,-0.04843633455596823,2024-10-24 00:00:00+00:00
417858.0,1400818.0,115646.0,895871.0,4532711.0,1313729.0,1516464.0,7362904.0,-0.027534652088360787,2024-10-25 00:00:00+00:00
415671.0,1408485.0,117312.0,1000403.0,4446660.0,1416074.0,1525797.0,7388531.0,-0.014850448620977567,2024-10-26 00:00:00+00:00
483133.0,1391258.0,119324.0,960870.0,4299144.0,1444003.0,1510582.0,7253729.0,-0.009178589384852949,2024-10-27 00:00:00+00:00
474415.0,1270138.0,123004.0,945804.0,4115003.0,1420219.0,1393142.0,6928364.0,0.003908137620944858,2024-10-28 00:00:00+00:00
437801.0,1118122.0,121716.0,933817.0,4129797.0,1371618.0,1239838.0,6741253.0,0.019548294656794515,2024-10-29 00:00:00+00:00
364339.0,1007659.0,88190.0,908140.0,3793958.0,1272479.0,1095849.0,6162286.0,0.02866306432385644,2024-10-30 00:00:00+00:00
334285.0,852477.0,67112.0,827234.0,3332744.0,1161519.0,919589.0,5413852.0,0.04468722085494764,2024-10-31 00:00:00+00:00
268805.0,703864.0,50402.0,621644.0,2624701.0,890449.0,754266.0,4269416.0,0.03189733677861328,2024-11-01 00:00:00+00:00
216175.0,540992.0,36821.0,396095.0,1906459.0,612270.0,577813.0,3096542.0,0.011127573919552844,2024-11-02 00:00:00+00:00
90957.0,282670.0,25642.0,287265.0,1211155.0,378222.0,308312.0,1897689.0,0.03683954536280708,2024-11-03 00:00:00+00:00
47025.0,144619.0,15904.0,160699.0,686110.0,207724.0,160523.0,1054357.0,0.04476756923888209,2024-11-04 00:00:00+00:00
8519.0,37879.0,2854.0,29522.0,120084.0,38041.0,40733.0,198858.0,-0.01353729797141679,2024-11-05 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-06 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-07 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-08 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-09 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-10 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-11 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-12 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-13 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-14 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-15 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-16 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-17 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-18 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-19 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-20 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-21 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-22 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-23 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-24 00:00:00+00:00
