topic,likes_pro_sum,likes_anti_sum,likes_total_sum,stance_bias,window_start,window_end,window_title,year
Democratic concerns,2505418.0,3333930.0,7113742.0,-0.11646641106748037,2020-06-14,2020-06-24,a,2020
Wokeness,2448955.0,5676659.0,11340578.0,-0.28461547550750943,2020-06-14,2020-06-24,a,2020
Economy,1010997.0,771403.0,2715342.0,0.08823713550631927,2020-06-14,2020-06-24,a,2020
Immigration,1421880.0,1199236.0,3312913.0,0.06720490396216261,2020-06-14,2020-06-24,a,2020
Abortion,194163.0,1377336.0,2250043.0,-0.5258446171917603,2020-06-14,2020-06-24,a,2020
Democratic concerns,4677804.0,10663611.0,16263685.0,-0.3680474013115724,2020-08-13,2020-08-23,b,2020
Wokeness,8461044.0,14921220.0,32181087.0,-0.200744493186324,2020-08-13,2020-08-23,b,2020
Economy,5661838.0,4717595.0,13288840.0,0.07105533665842918,2020-08-13,2020-08-23,b,2020
Immigration,529746.0,1036779.0,2184048.0,-0.23215286477220282,2020-08-13,2020-08-23,b,2020
Abortion,689222.0,2174578.0,6957993.0,-0.21347477641900472,2020-08-13,2020-08-23,b,2020
Democratic concerns,5505015.0,10555066.0,18298411.0,-0.27598303481105546,2020-09-24,2020-10-04,c,2020
Wokeness,3838229.0,7633896.0,16345655.0,-0.23221259717031836,2020-09-24,2020-10-04,c,2020
Economy,3073183.0,7728463.0,15519390.0,-0.2999653981245397,2020-09-24,2020-10-04,c,2020
Immigration,202507.0,658505.0,1205818.0,-0.3781648640176212,2020-09-24,2020-10-04,c,2020
Abortion,1141904.0,3265129.0,7214489.0,-0.29430012298861363,2020-09-24,2020-10-04,c,2020
Democratic concerns,7748664.0,10394125.0,19076114.0,-0.1386792404364956,2020-10-19,2020-10-29,d,2020
Wokeness,3649733.0,11731198.0,21224965.0,-0.38075280689508795,2020-10-19,2020-10-29,d,2020
Economy,7183262.0,12173654.0,23158288.0,-0.21549054057882,2020-10-19,2020-10-29,d,2020
Immigration,1077694.0,1896279.0,3746914.0,-0.21846911885354187,2020-10-19,2020-10-29,d,2020
Abortion,1269316.0,3276317.0,8615706.0,-0.2329467834673096,2020-10-19,2020-10-29,d,2020
