likes_pro,likes_anti,likes_neutral,likes_total,bias,topic,date
7571.0,4322.0,39377.0,51270.0,0.0633703920421299,Abortion,2020-06-01 00:00:00+00:00
8014.0,8581.0,59183.0,75778.0,-0.007482382749610705,Abortion,2020-06-02 00:00:00+00:00
8760.0,10080.0,63810.0,82650.0,-0.015970961887477313,Abortion,2020-06-03 00:00:00+00:00
8760.0,12763.0,81661.0,103184.0,-0.03879477438362537,Abortion,2020-06-04 00:00:00+00:00
6837.0,13836.0,95400.0,116073.0,-0.06029826057739526,Abortion,2020-06-05 00:00:00+00:00
5958.0,30351.0,98324.0,134633.0,-0.18118143397235448,Abortion,2020-06-06 00:00:00+00:00
4951.0,30574.0,92680.0,128205.0,-0.19985959985959986,Abortion,2020-06-07 00:00:00+00:00
3140.0,39820.0,90338.0,133298.0,-0.27517292082401834,Abortion,2020-06-08 00:00:00+00:00
3004.0,46543.0,81935.0,131482.0,-0.33114038423510445,Abortion,2020-06-09 00:00:00+00:00
2627.0,51217.0,90232.0,144076.0,-0.33725256114828284,Abortion,2020-06-10 00:00:00+00:00
3033.0,55443.0,84040.0,142516.0,-0.36774818266019255,Abortion,2020-06-11 00:00:00+00:00
12411.0,230184.0,69416.0,312011.0,-0.6979657768476112,Abortion,2020-06-12 00:00:00+00:00
17655.0,225161.0,60460.0,303276.0,-0.6842150384468273,Abortion,2020-06-13 00:00:00+00:00
17811.0,226147.0,59234.0,303192.0,-0.6871421409535872,Abortion,2020-06-14 00:00:00+00:00
21268.0,221461.0,57968.0,300697.0,-0.6657632101417706,Abortion,2020-06-15 00:00:00+00:00
23624.0,217790.0,70832.0,312246.0,-0.6218366288118983,Abortion,2020-06-16 00:00:00+00:00
24876.0,211750.0,61743.0,298369.0,-0.6263184177980956,Abortion,2020-06-17 00:00:00+00:00
27281.0,212152.0,54368.0,293801.0,-0.6292388385335652,Abortion,2020-06-18 00:00:00+00:00
17613.0,46652.0,53368.0,117633.0,-0.2468609998894868,Abortion,2020-06-19 00:00:00+00:00
12883.0,39089.0,45813.0,97785.0,-0.2679961139234034,Abortion,2020-06-20 00:00:00+00:00
13995.0,52942.0,62345.0,129282.0,-0.3012561686855092,Abortion,2020-06-21 00:00:00+00:00
11390.0,48671.0,69718.0,129779.0,-0.28726527404279584,Abortion,2020-06-22 00:00:00+00:00
11242.0,48864.0,71844.0,131950.0,-0.2851231527093596,Abortion,2020-06-23 00:00:00+00:00
12180.0,51818.0,71311.0,135309.0,-0.2929442978663651,Abortion,2020-06-24 00:00:00+00:00
10333.0,53034.0,76208.0,139575.0,-0.3059358767687623,Abortion,2020-06-25 00:00:00+00:00
22811.0,48179.0,75336.0,146326.0,-0.17336631904104532,Abortion,2020-06-26 00:00:00+00:00
25290.0,51422.0,77161.0,153873.0,-0.16982836495031617,Abortion,2020-06-27 00:00:00+00:00
24013.0,37855.0,67306.0,129174.0,-0.10715778717079288,Abortion,2020-06-28 00:00:00+00:00
25935.0,37194.0,64808.0,127937.0,-0.08800425209282693,Abortion,2020-06-29 00:00:00+00:00
24165.0,30191.0,46669.0,101025.0,-0.05964860183122989,Abortion,2020-06-30 00:00:00+00:00
21679.0,27654.0,46204.0,95537.0,-0.06254121439860996,Abortion,2020-07-01 00:00:00+00:00
25146.0,23740.0,39268.0,88154.0,0.01594936134491912,Abortion,2020-07-02 00:00:00+00:00
13318.0,19694.0,41887.0,74899.0,-0.08512797233607926,Abortion,2020-07-03 00:00:00+00:00
11568.0,15397.0,44253.0,71218.0,-0.05376449773933556,Abortion,2020-07-04 00:00:00+00:00
14049.0,16186.0,42158.0,72393.0,-0.02951942867404307,Abortion,2020-07-05 00:00:00+00:00
14456.0,17819.0,36257.0,68532.0,-0.04907196638066889,Abortion,2020-07-06 00:00:00+00:00
17212.0,24183.0,35593.0,76988.0,-0.09054657868758767,Abortion,2020-07-07 00:00:00+00:00
